rate:600, w: 0.0, P99: 262.5709880393786
rate:700, w: 0.0, P99: 350.06180776334776
rate:800, w: 0.06, P99: 422.3062000556448
rate:900, w: 0.06, P99: 560.5388635807617
rate:1000, w: 0.12, P99: 706.1988627428747
rate:1100, w: 0.12, P99: 889.4853831077221
rate:1200, w: 5.4, P99: 1019.4508177214235
rate:1300, w: 6.0, P99: 1032.0295618783084
rate:1400, w: 6.0, P99: 1055.7857421678168
rate:1500, w: 6.0, P99: 1077.2593959863295
rate:1600, w: 6.0, P99: 1097.5323133985978
rate:1700, w: 6.0, P99: 1114.9862317540305
rate:1800, w: 6.0, P99: 1131.2951180808789
rate:1900, w: 6.0, P99: 1147.0981293875827
rate:2000, w: 6.0, P99: 1160.5748759982955
rate:2100, w: 6.0, P99: 1172.5327236222265
rate:2200, w: 6.0, P99: 1183.381197582996
rate:1200, w: 0.1, P99: 278.2926921400446
rate:1400, w: 0.1, P99: 343.1105083746514
rate:1600, w: 0.12, P99: 436.05713653026504
rate:1800, w: 0.12, P99: 545.9163155699214
rate:2000, w: 0.24, P99: 714.9180944849103
rate:2200, w: 0.24, P99: 896.9125645479419
rate:2400, w: 5.88, P99: 1010.4882399230977
rate:2600, w: 6.0, P99: 1033.4211028997604
rate:2800, w: 6.0, P99: 1056.4589022640528
rate:3000, w: 6.0, P99: 1078.377468538225
rate:3200, w: 6.0, P99: 1098.1102819180958
rate:3400, w: 6.0, P99: 1116.3717191410753
rate:3600, w: 6.0, P99: 1132.646574881022
rate:3800, w: 6.0, P99: 1147.1919137659959
rate:4000, w: 6.0, P99: 1160.5736523146397
rate:4200, w: 6.0, P99: 1172.28190423908
rate:4400, w: 6.0, P99: 1182.6142993274225
