5.0
i:0, rate:500, w: 5, P99: 845.6528488176082
i:1, rate:2200, w: 4, P99: 1213.8704687161137
i:2, rate:700, w: 3, P99: 1027.5815349892894
i:3, rate:1600, w: 3, P99: 1188.186784108349
i:4, rate:200, w: 2, P99: 663.6555004125511
i:5, rate:1100, w: 2, P99: 1154.9221263088343
i:6, rate:800, w: 3, P99: 1057.733683429489
i:7, rate:2000, w: 4, P99: 1203.3968445734363
i:8, rate:1600, w: 3, P99: 1194.0535214576191
i:9, rate:1900, w: 3, P99: 1216.304256724013
i:10, rate:1400, w: 4, P99: 1135.3093929799998
i:11, rate:500, w: 3, P99: 933.3982102416944
i:12, rate:1700, w: 3, P99: 1197.0496444595994
i:13, rate:1400, w: 4, P99: 1140.3993988464108
i:14, rate:1900, w: 4, P99: 1195.6243585991858
i:15, rate:1500, w: 3, P99: 1179.4388179168927
i:16, rate:1500, w: 4, P99: 1157.559802519324
i:17, rate:1500, w: 3, P99: 1178.8225023655964
i:18, rate:1800, w: 3, P99: 1210.7193555910135
i:19, rate:2200, w: 2, P99: 1228.9241366582976
i:20, rate:1600, w: 2, P99: 1204.2813387895806
i:21, rate:600, w: 3, P99: 986.451707282678
i:22, rate:500, w: 2, P99: 996.2358857522452
i:23, rate:2000, w: 2, P99: 1225.450071040193
i:24, rate:400, w: 2, P99: 922.5571301165401
i:25, rate:300, w: 1, P99: 907.0432429887842
i:26, rate:900, w: 1, P99: 1152.976373893529
i:27, rate:800, w: 2, P99: 1106.584183289824
i:28, rate:600, w: 3, P99: 979.8066007361999
i:29, rate:1500, w: 4, P99: 1151.9550387359318
i:30, rate:1400, w: 3, P99: 1166.289446027073
i:31, rate:1900, w: 4, P99: 1190.2472304463324
i:32, rate:900, w: 4, P99: 1025.0731287397675
i:33, rate:400, w: 3, P99: 849.4728162373019
i:34, rate:2000, w: 2, P99: 1223.3924069332866
i:35, rate:1900, w: 3, P99: 1212.315980901506
i:36, rate:1300, w: 3, P99: 1153.0884538258501
i:37, rate:300, w: 3, P99: 770.9787553672505
i:38, rate:2300, w: 2, P99: 1232.6630634378591
i:39, rate:2400, w: 1, P99: 1234.6961744186667
i:40, rate:2000, w: 1, P99: 1231.4040873098193
i:41, rate:2000, w: 2, P99: 1220.0895730623592
i:42, rate:1700, w: 3, P99: 1195.1158789101823
i:43, rate:1900, w: 4, P99: 1192.7993963555834
i:44, rate:1900, w: 3, P99: 1211.4411129208684
i:45, rate:500, w: 2, P99: 993.1971672320151
i:46, rate:1800, w: 2, P99: 1217.0212673052472
i:47, rate:700, w: 2, P99: 1075.540214316144
i:48, rate:2000, w: 1, P99: 1230.06311519105
i:49, rate:1200, w: 2, P99: 1165.482845016828
i:50, rate:1000, w: 1, P99: 1172.0972405836314
i:51, rate:2200, w: 1, P99: 1238.850402446137
i:52, rate:2400, w: 1, P99: 1237.0940612414026
i:53, rate:1000, w: 1, P99: 1172.561326618465
i:54, rate:1200, w: 2, P99: 1170.2508638108625
i:55, rate:1200, w: 3, P99: 1139.614735380551
i:56, rate:2200, w: 3, P99: 1224.334104596363
i:57, rate:2300, w: 4, P99: 1221.376627871784
i:58, rate:1000, w: 4, P99: 1052.561912490145
i:59, rate:1200, w: 3, P99: 1145.7271530973667
i:60, rate:2200, w: 2, P99: 1231.1752380025773
i:61, rate:1300, w: 2, P99: 1179.0815799016666
i:62, rate:400, w: 1, P99: 993.7740339512599
i:63, rate:700, w: 1, P99: 1119.6744505961487
i:64, rate:1600, w: 2, P99: 1210.453655883156
i:65, rate:800, w: 1, P99: 1138.9340209501174
i:66, rate:800, w: 1, P99: 1134.696593810343
i:67, rate:2000, w: 2, P99: 1226.5151473104845
i:68, rate:1400, w: 1, P99: 1207.5616548514452
i:69, rate:500, w: 2, P99: 986.2103979278943
i:70, rate:2000, w: 2, P99: 1225.0111458745969
i:71, rate:2100, w: 3, P99: 1225.5176153322059
i:72, rate:1800, w: 3, P99: 1204.3890280501205
i:73, rate:600, w: 2, P99: 1035.9008024294235
i:74, rate:1000, w: 2, P99: 1143.2349745093052
i:75, rate:1100, w: 3, P99: 1120.5090926727223
i:76, rate:1300, w: 4, P99: 1115.9525463570728
i:77, rate:2400, w: 3, P99: 1230.203974189046
i:78, rate:600, w: 2, P99: 1044.3104419282538
i:79, rate:1800, w: 2, P99: 1220.7509558640281
i:80, rate:1800, w: 3, P99: 1202.6823868508618
i:81, rate:800, w: 2, P99: 1096.9105074941695
i:82, rate:2400, w: 2, P99: 1235.2099430982494
i:83, rate:1700, w: 1, P99: 1218.7228132596592
i:84, rate:400, w: 1, P99: 1011.3409951982028
i:85, rate:1100, w: 2, P99: 1152.6377752148235
i:86, rate:300, w: 1, P99: 915.6603853290565
i:87, rate:1200, w: 1, P99: 1196.784782030567
i:88, rate:1200, w: 2, P99: 1166.379370833673
i:89, rate:400, w: 1, P99: 1002.4532616634942
i:90, rate:500, w: 1, P99: 1058.5132965450819
i:91, rate:2300, w: 1, P99: 1233.5587169814733
i:92, rate:1300, w: 2, P99: 1185.747501420251
i:93, rate:2300, w: 3, P99: 1226.053649129361
i:94, rate:200, w: 2, P99: 677.2732053785588
i:95, rate:2400, w: 1, P99: 1234.254156268509
i:96, rate:200, w: 1, P99: 778.7311685934877
i:97, rate:2200, w: 1, P99: 1232.4933402478516
i:98, rate:2200, w: 2, P99: 1227.4059224568464
i:99, rate:1300, w: 1, P99: 1202.6143082416963
i:100, rate:400, w: 2, P99: 931.34930666513
i:101, rate:1300, w: 2, P99: 1181.7295043966312
i:102, rate:1500, w: 2, P99: 1202.7309020388373
i:103, rate:500, w: 1, P99: 1051.7808311674112
i:104, rate:1100, w: 1, P99: 1185.925599098671
i:105, rate:1000, w: 2, P99: 1134.951476262009
i:106, rate:1900, w: 3, P99: 1216.6632362845537
i:107, rate:1600, w: 4, P99: 1167.1044205720564
i:108, rate:1900, w: 3, P99: 1207.0547206896845
i:109, rate:400, w: 2, P99: 929.9749448360486
i:110, rate:2200, w: 1, P99: 1234.5755280976114
i:111, rate:700, w: 1, P99: 1120.69548896747
i:112, rate:2200, w: 1, P99: 1231.7296300859598
i:113, rate:2000, w: 2, P99: 1222.9522564540312
i:114, rate:1000, w: 2, P99: 1138.1745840664084
i:115, rate:300, w: 3, P99: 763.2514874451914
i:116, rate:1100, w: 3, P99: 1115.041037956014
i:117, rate:1100, w: 2, P99: 1151.464397960652
i:118, rate:200, w: 1, P99: 764.8522629735951
i:119, rate:1400, w: 2, P99: 1192.460195391609
i:120, rate:800, w: 1, P99: 1135.0682124259354
i:121, rate:1000, w: 1, P99: 1169.5772158992877
i:122, rate:200, w: 2, P99: 654.5402759501831
i:123, rate:2000, w: 1, P99: 1231.5874398365195
5.0
i:124, rate:300, w: 0, P99: 161.17681187759862
5.0
i:125, rate:1300, w: 0, P99: 1288.4042210994944
5.0
i:126, rate:400, w: 0, P99: 181.85792931534584
5.0
i:127, rate:1000, w: 0, P99: 686.2707986405209
4.25
i:128, rate:500, w: 0, P99: 214.8270708814263
i:129, rate:1300, w: 1, P99: 1202.161285963674
5.0
i:130, rate:300, w: 0, P99: 163.748917691871
i:131, rate:1900, w: 1, P99: 1232.5040365966306
i:132, rate:1200, w: 1, P99: 1185.2497915157387
5.0
i:133, rate:1100, w: 0, P99: 886.3577541919867
5.0
i:134, rate:900, w: 0, P99: 529.0901219137027
i:135, rate:1400, w: 1, P99: 1212.7140723267921
i:136, rate:1400, w: 1, P99: 1205.43469535228
i:137, rate:1400, w: 1, P99: 1204.5311982417215
5.0
i:138, rate:200, w: 0, P99: 136.0310205022699
i:139, rate:2300, w: 1, P99: 1230.0787335791026
i:140, rate:1300, w: 1, P99: 1201.1000009589134
5.0
i:141, rate:1100, w: 0, P99: 871.6313538682418
i:142, rate:1400, w: 1, P99: 1209.7611467642937
5.0
i:143, rate:400, w: 0, P99: 187.27812132073976
3.6125000000000007
i:144, rate:400, w: 0, P99: 188.87785224125173
5.0
i:145, rate:600, w: 0, P99: 266.03486010996966
4.25
i:146, rate:900, w: 0, P99: 549.0486060202742
5.0
i:147, rate:1200, w: 0, P99: 1170.2200349672578
3.6125000000000007
i:148, rate:900, w: 0, P99: 548.7328241364237
i:149, rate:1600, w: 1, P99: 1221.2032959986739
5.0
i:150, rate:400, w: 0, P99: 187.4962124414174
i:151, rate:2000, w: 1, P99: 1234.1635789050583
i:152, rate:1300, w: 1, P99: 1198.5497498006753
5.0
i:153, rate:300, w: 0, P99: 163.6147920534276
5.0
i:154, rate:300, w: 0, P99: 163.17101528736748
4.25
i:155, rate:1000, w: 0, P99: 687.2252917021634
3.6125000000000007
i:156, rate:1000, w: 0, P99: 668.1757371243506
i:157, rate:2100, w: 1, P99: 1231.6729953684055
i:158, rate:1400, w: 1, P99: 1214.1322408137887
i:159, rate:300, w: 1, P99: 926.6772405499997
i:160, rate:2000, w: 1, P99: 1229.853622530699
5.483527199289082
i:161, rate:1300, w: 0, P99: 1282.964300789434
i:162, rate:1900, w: 1, P99: 1228.8372429560968
i:163, rate:1700, w: 1, P99: 1224.227221798957
5.0
i:164, rate:800, w: 0, P99: 427.6154312755476
i:165, rate:2000, w: 1, P99: 1231.4220257071372
