i:0, rate:1200, w: 6, P99: 1009.9745042647282
i:1, rate:800, w: 5, P99: 945.6742998333742
i:2, rate:1200, w: 6, P99: 1010.0533788906432
i:3, rate:1000, w: 5, P99: 1000.265372636152
i:4, rate:2100, w: 6, P99: 1170.105276578172
i:5, rate:1500, w: 6, P99: 1073.7592186308239
i:6, rate:1600, w: 6, P99: 1096.6785876157585
i:7, rate:1400, w: 6, P99: 1056.158257436176
i:8, rate:2200, w: 6, P99: 1179.7337823243483
i:9, rate:900, w: 5, P99: 977.4553680250094
i:10, rate:2400, w: 6, P99: 1196.9121640198339
i:11, rate:1700, w: 6, P99: 1112.070424680344
i:12, rate:700, w: 5, P99: 914.942381527937
i:13, rate:800, w: 0, P99: 411.491481467383
i:14, rate:900, w: 5, P99: 984.7411035123864
i:15, rate:600, w: 0, P99: 250.54626541076007
i:16, rate:800, w: 0, P99: 416.302065764343
i:17, rate:800, w: 0, P99: 415.52756073228784
i:18, rate:500, w: 5, P99: 852.6329826534833
i:19, rate:200, w: 6, P99: 597.8255970503158
i:20, rate:1500, w: 6, P99: 1075.5096077052697
i:21, rate:400, w: 0, P99: 184.5689125384363
i:22, rate:1500, w: 6, P99: 1071.349901050368
i:23, rate:600, w: 0, P99: 284.08115799586506
i:24, rate:2200, w: 6, P99: 1183.1337330533286
i:25, rate:500, w: 0, P99: 212.070442625325
i:26, rate:2200, w: 6, P99: 1186.929226619661
i:27, rate:400, w: 0, P99: 184.32870970034838
i:28, rate:1300, w: 6, P99: 1036.4239760380435
i:29, rate:1500, w: 6, P99: 1082.2287718235164
i:30, rate:2000, w: 6, P99: 1159.4805892873474
i:31, rate:1800, w: 6, P99: 1126.2371184210608
i:32, rate:1200, w: 0, P99: 1113.9013413705427
i:33, rate:1000, w: 0, P99: 670.6619225075877
i:34, rate:2300, w: 6, P99: 1185.8137956354622
i:35, rate:900, w: 0, P99: 554.2783832374062
i:36, rate:400, w: 0, P99: 189.79154870097824
i:37, rate:2000, w: 6, P99: 1161.096386395921
i:38, rate:900, w: 0, P99: 497.3297022118319
i:39, rate:200, w: 0, P99: 134.03264229568072
i:40, rate:1300, w: 6, P99: 1029.4030839480606
i:41, rate:900, w: 0, P99: 546.5676903135892
i:42, rate:1900, w: 6, P99: 1145.8929690099244
i:43, rate:900, w: 0, P99: 526.0857336546263
i:44, rate:1900, w: 6, P99: 1145.8215523335866
i:45, rate:2300, w: 6, P99: 1191.4754327694068
i:46, rate:1100, w: 5, P99: 1026.0872898714529
i:47, rate:2300, w: 6, P99: 1185.6525304933741
i:48, rate:1900, w: 6, P99: 1149.9814284905842
i:49, rate:800, w: 0, P99: 410.30461062189556
i:50, rate:900, w: 0, P99: 532.4108036175304
i:51, rate:2400, w: 6, P99: 1200.4737962810052
i:52, rate:2000, w: 6, P99: 1156.0692587912736
i:53, rate:2300, w: 6, P99: 1189.3206369570376
i:54, rate:1000, w: 0, P99: 664.8967645840289
i:55, rate:2200, w: 6, P99: 1184.368498340063
i:56, rate:1100, w: 0, P99: 879.6205347175259
i:57, rate:1200, w: 6, P99: 1006.9971642279728
i:58, rate:1900, w: 6, P99: 1145.8566452624086
i:59, rate:1800, w: 6, P99: 1132.8950269153872
i:60, rate:1300, w: 6, P99: 1024.1486161682346
i:61, rate:300, w: 5, P99: 703.9334427736209
i:62, rate:400, w: 0, P99: 183.11773013836802
i:63, rate:2400, w: 6, P99: 1203.0670629465649
i:64, rate:1200, w: 6, P99: 1007.4424830902641
i:65, rate:1800, w: 6, P99: 1133.475960167055
i:66, rate:1700, w: 6, P99: 1117.386303328844
i:67, rate:1800, w: 6, P99: 1127.2949758668883
i:68, rate:300, w: 0, P99: 162.83954575765765
i:69, rate:400, w: 0, P99: 181.75117338212246
i:70, rate:2400, w: 6, P99: 1196.227399392547
i:71, rate:700, w: 0, P99: 325.18372623339235
i:72, rate:2000, w: 6, P99: 1161.3441441346959
i:73, rate:2300, w: 6, P99: 1187.4095724392432
i:74, rate:2300, w: 6, P99: 1190.1086754759833
i:75, rate:800, w: 0, P99: 403.3662744509634
i:76, rate:2400, w: 6, P99: 1193.1353304718564
i:77, rate:900, w: 0, P99: 554.6402022827647
i:78, rate:2100, w: 6, P99: 1170.346667474968
i:79, rate:2000, w: 6, P99: 1160.8113129051853
i:80, rate:300, w: 0, P99: 158.09056936047972
