i:0, rate:2000, w: 5, P99: 1004.9050278875612
i:1, rate:400, w: 5, P99: 598.6798516108408
i:2, rate:1000, w: 6, P99: 817.4206461526809
i:3, rate:4600, w: 6, P99: 1190.718651677675
i:4, rate:2800, w: 6, P99: 1065.7785538809585
i:5, rate:4200, w: 6, P99: 1171.3463240712101
i:6, rate:1600, w: 5, P99: 945.0521562120583
i:7, rate:800, w: 6, P99: 779.511731457668
i:8, rate:1400, w: 5, P99: 908.8609296995467
i:9, rate:600, w: 6, P99: 709.2542647824009
i:10, rate:4000, w: 6, P99: 1158.5009890225979
i:11, rate:2000, w: 0, P99: 685.961192432084
i:12, rate:3200, w: 6, P99: 1100.431784628521
i:13, rate:2200, w: 0, P99: 926.7557740220816
i:14, rate:3000, w: 6, P99: 1073.6311875942704
i:15, rate:1600, w: 0, P99: 416.98427188826724
i:16, rate:2000, w: 0, P99: 683.598691564086
i:17, rate:800, w: 6, P99: 773.7831097981688
i:18, rate:3000, w: 6, P99: 1076.2398825914117
i:19, rate:2800, w: 6, P99: 1057.7975689109132
i:20, rate:2000, w: 0, P99: 708.3553638434166
i:21, rate:600, w: 0, P99: 162.6855545010884
i:22, rate:1000, w: 6, P99: 823.295079761305
i:23, rate:400, w: 0, P99: 136.70434710287287
i:24, rate:3000, w: 6, P99: 1080.3965194528544
i:25, rate:2400, w: 6, P99: 1010.9449570530669
i:26, rate:600, w: 6, P99: 713.6963635702201
i:27, rate:1600, w: 0, P99: 407.4520869749881
i:28, rate:4400, w: 6, P99: 1183.5623317192928
i:29, rate:4000, w: 6, P99: 1156.0921988215814
i:30, rate:3800, w: 6, P99: 1146.0514994412956
i:31, rate:4000, w: 6, P99: 1160.411196559885
i:32, rate:2400, w: 6, P99: 1005.7186404287302
i:33, rate:2800, w: 6, P99: 1053.3565946743045
i:34, rate:4200, w: 6, P99: 1170.0603082619712
i:35, rate:2600, w: 6, P99: 1031.6711938430415
i:36, rate:600, w: 0, P99: 164.56642786606804
i:37, rate:400, w: 0, P99: 136.45388657229498
i:38, rate:400, w: 0, P99: 135.3291638511513
i:39, rate:4800, w: 6, P99: 1205.7055042631373
i:40, rate:4800, w: 6, P99: 1200.3596808939028
i:41, rate:2400, w: 6, P99: 1006.9891695789491
i:42, rate:800, w: 0, P99: 188.0638030677027
i:43, rate:1200, w: 0, P99: 271.53986598344545
i:44, rate:3800, w: 6, P99: 1142.647347793462
i:45, rate:2000, w: 0, P99: 699.1812341159751
i:46, rate:800, w: 0, P99: 184.615325160744
i:47, rate:4200, w: 6, P99: 1167.7288605783338
i:48, rate:3400, w: 6, P99: 1116.423023058722
i:49, rate:3800, w: 6, P99: 1146.5078613969342
i:50, rate:4600, w: 6, P99: 1190.512464364993
i:51, rate:2000, w: 0, P99: 678.1184495207884
i:52, rate:2600, w: 6, P99: 1029.3796870463832
i:53, rate:400, w: 0, P99: 133.65598243238367
i:54, rate:600, w: 0, P99: 164.57793472255693
i:55, rate:4200, w: 6, P99: 1173.29497849019
i:56, rate:2800, w: 6, P99: 1056.4884681048245
i:57, rate:2600, w: 6, P99: 1034.6226856527962
i:58, rate:1800, w: 5, P99: 981.0060200896977
i:59, rate:1600, w: 0, P99: 444.9670439483178
i:60, rate:4000, w: 6, P99: 1164.449807832307
i:61, rate:3400, w: 6, P99: 1114.5354829006399
i:62, rate:2000, w: 0, P99: 693.7001862198966
i:63, rate:400, w: 0, P99: 137.03802046191726
i:64, rate:3000, w: 6, P99: 1076.3163793800811
i:65, rate:1400, w: 0, P99: 323.82683249299225
i:66, rate:4400, w: 6, P99: 1178.5799671056027
i:67, rate:2400, w: 6, P99: 1007.9214276189115
i:68, rate:2000, w: 0, P99: 738.5724410741225
i:69, rate:3800, w: 6, P99: 1145.8877787809176
i:70, rate:4400, w: 6, P99: 1180.0670512566403
i:71, rate:1000, w: 0, P99: 220.48727535683855
i:72, rate:2200, w: 0, P99: 872.5434280798604
i:73, rate:1800, w: 0, P99: 538.8000490507791
i:74, rate:4400, w: 6, P99: 1178.6848448491944
i:75, rate:800, w: 0, P99: 184.5812282963671
i:76, rate:2600, w: 6, P99: 1033.1865312722873
i:77, rate:4200, w: 6, P99: 1176.8227725061633
i:78, rate:1200, w: 0, P99: 265.85284037738523
i:79, rate:600, w: 0, P99: 164.1120441737853
i:80, rate:3200, w: 6, P99: 1099.0902319206493
i:81, rate:2000, w: 0, P99: 702.1734500141923
i:82, rate:800, w: 5, P99: 791.9533413253563
i:83, rate:2400, w: 6, P99: 1009.5978451184774
i:84, rate:2800, w: 6, P99: 1056.030710393509
i:85, rate:2800, w: 6, P99: 1057.2353946253088
i:86, rate:3400, w: 6, P99: 1116.831039909723
i:87, rate:1000, w: 0, P99: 218.0594124782635
i:88, rate:2000, w: 0, P99: 680.0846721165692
i:89, rate:3400, w: 6, P99: 1114.4396381505092
i:90, rate:2400, w: 6, P99: 1014.7456977753792
i:91, rate:3800, w: 6, P99: 1149.386856627961
i:92, rate:2400, w: 6, P99: 1004.110280086041
i:93, rate:3400, w: 6, P99: 1117.7449120835533
